"X","project","language","article","access","agent","granularity","date","views"
1,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-01,208
2,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-02,177
3,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-03,174
4,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-04,132
5,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-05,141
6,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-06,222
7,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-07,225
8,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-08,204
9,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-09,193
10,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-10,146
11,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-11,116
12,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-12,104
13,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-13,151
14,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-14,148
15,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-15,105
16,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-16,68
17,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-17,67
18,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-18,104
19,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-19,79
20,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-20,97
21,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-21,118
22,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-22,157
23,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-23,124
24,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-24,166
25,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-25,106
26,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-26,132
27,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-27,219
28,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-28,223
29,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-29,273
30,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-07-30,252
